Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1973,Madhya Pradesh,Chhindwara,745.37,,,,,,
1974,Madhya Pradesh,Chhindwara,459.82,,,,,,
1975,Madhya Pradesh,Chhindwara,959.82,,,,,,
1976,Madhya Pradesh,Chhindwara,355.93,,,,,,
1977,Madhya Pradesh,Chhindwara,562.25,,,,,,
1978,Madhya Pradesh,Chhindwara,505.62,,,,,,
1979,Madhya Pradesh,Chhindwara,197.13,,,,,,
1980,Madhya Pradesh,Chhindwara,483.15,,,,,,
1981,Madhya Pradesh,Chhindwara,550.56,,,,,,
1982,Madhya Pradesh,Chhindwara,826.92,,,,,,
1983,Madhya Pradesh,Chhindwara,1045.63,,,,,,
1984,Madhya Pradesh,Chhindwara,714.29,,,,,,
1985,Madhya Pradesh,Chhindwara,892.99,,,,,,
1986,Madhya Pradesh,Chhindwara,571.43,,,,,,
1987,Madhya Pradesh,Chhindwara,1076.92,,,,,,
1988,Madhya Pradesh,Chhindwara,738.18,,,,,,
1989,Madhya Pradesh,Chhindwara,773.23,,,,,,
1990,Madhya Pradesh,Chhindwara,995.19,,,,,,
1991,Madhya Pradesh,Chhindwara,565.45,,,,,,
1992,Madhya Pradesh,Chhindwara,693.55,,,,,,
1993,Madhya Pradesh,Chhindwara,902.06,,,,,,
1994,Madhya Pradesh,Chhindwara,965.17,,,,,,
1995,Madhya Pradesh,Chhindwara,566.33,,,,,,
1996,Madhya Pradesh,Chhindwara,831.58,,,,,,
1997,Madhya Pradesh,Chhindwara,756.35,,,,,,
1998,Madhya Pradesh,Chhindwara,623.71,,,,,,
1999,Madhya Pradesh,Chhindwara,830.71,,,,,,
2000,Madhya Pradesh,Chhindwara,443.55,,,,,,
2001,Madhya Pradesh,Chhindwara,444.88,,,,,,
2002,Madhya Pradesh,Chhindwara,433.07,,,,,,
2003,Madhya Pradesh,Chhindwara,868.31,,,,,,
2004,Madhya Pradesh,Chhindwara,671.08,,,,,,
2005,Madhya Pradesh,Chhindwara,764.49,,,,,,
2006,Madhya Pradesh,Chhindwara,810.8,,,,,,
2007,Madhya Pradesh,Chhindwara,585.85,,,,,,
2008,Madhya Pradesh,Chhindwara,495.85,,,,,,
2009,Madhya Pradesh,Chhindwara,755.32,,,,,,
2010,Madhya Pradesh,Chhindwara,1650.27,,,,,,
2011,Madhya Pradesh,Chhindwara,2128.71,,,,,,
2012,Madhya Pradesh,Chhindwara,2752.51,,,,,,
2013,Madhya Pradesh,Chhindwara,2031.14,,,,,,
2014,Madhya Pradesh,Chhindwara,2400.0,,,,,,
2015,Madhya Pradesh,Chhindwara,1741.94,,,,,,
2016,Madhya Pradesh,Chhindwara,1523.71,,,,,,
2017,Madhya Pradesh,Chhindwara,1236.7,,,,,,
1966,Madhya Pradesh,Narsinghpur,313.95,,,,,,
1967,Madhya Pradesh,Narsinghpur,1000.0,,,,,,
1968,Madhya Pradesh,Narsinghpur,858.9,,,,,,
1969,Madhya Pradesh,Narsinghpur,817.57,,,,,,
1970,Madhya Pradesh,Narsinghpur,1056.74,,,,,,
1971,Madhya Pradesh,Narsinghpur,1028.17,,,,,,
1972,Madhya Pradesh,Narsinghpur,1115.38,,,,,,
1973,Madhya Pradesh,Narsinghpur,1279.22,,,,,,
1974,Madhya Pradesh,Narsinghpur,864.52,,,,,,
1975,Madhya Pradesh,Narsinghpur,1006.8,,,,,,
1976,Madhya Pradesh,Narsinghpur,812.08,,,,,,
1977,Madhya Pradesh,Narsinghpur,972.97,,,,,,
1978,Madhya Pradesh,Narsinghpur,940.0,,,,,,
